nr	x	y
Int	Double	Double
3	27.38922409731643	28.978095044115697
4	24.45307425117928	21.953344652126116
5	25.95733338464805	24.892940574259317
6	26.549168308930053	28.77878802152635
7	27.814600158931896	23.900452049480908
8	29.87162526968318	25.109319265038135
9	28.1009512529943	24.370804888854753
10	26.116811448100254	24.86453056210139
11	29.603330234071606	23.633272660314415
12	28.700822032638918	22.923963570094553
13	23.587559950395956	27.455967843198465
14	22.23708951785811	28.693872200860767
15	26.455711192663955	27.549145751742266
16	24.682374988395896	28.761162666213302
17	26.041809700470147	30.174805549466257
18	24.511868800860988	26.31668944227483
19	21.939470770260776	29.267616221321422
20	25.007641211302087	26.912513715949064
21	24.257333345200166	27.071601147638404
22	20.753486072450016	25.517397277036324
23	21.107442297869525	27.44220440555102
24	27.94267090882561	25.326819173609806
25	26.186512145800535	25.97342014769766
26	29.672487311939157	22.56994368324909
27	28.122468038951002	24.071898696088223
28	24.368203315285584	24.094705475270004
29	24.409264434844825	23.574319081522084
30	26.538366814422854	25.773089537562655
31	26.292441561432934	25.25429879303483
32	25.677761429900823	27.368520942965
33	30.910536827708487	27.260863330583685
34	25.253877125948247	25.77883008176589
35	23.055272450525496	23.976806947417664
36	24.130875010714185	20.153593721116696
37	22.733667298628188	25.03344742703282
38	24.928522524087708	25.469391154238966
39	23.059393527786263	25.976236942954564
40	24.196907615554448	26.548745881285537
41	22.099361201000622	27.215536049669495
42	24.32778639863727	22.80966612475296
43	20.558352170022754	24.43081238781546
44	23.34957838529907	20.460273985063335
45	22.082019108919138	23.968099575252833
46	25.7519163218754	25.85913494687165
47	25.95812463248315	25.013835321734977
48	26.606290297491668	22.614019580449877
49	22.49930678731745	26.74365900326344
50	26.746879947647564	28.389549312731045
51	26.954196683592627	23.795044472725415
52	25.260483443458636	28.203161382675304
53	26.251337318867265	28.841492572468844
54	25.281145588605547	27.41852126015709
55	25.520479125036964	22.420379737446005
56	29.26805554493943	24.871389455745128
57	26.069461068693595	27.64131913598106
58	23.132125273117623	24.99611026984478
59	25.61782406382744	24.563068976044754
60	28.21077688090824	27.451412913295712
61	27.394003074989634	25.97243304190715
62	24.72863634403149	29.803305023147956
63	25.568797908191158	31.027252385130165
64	22.136784672151272	27.53114477111554
65	25.60813702572599	29.661603366258152
66	22.834430709062048	29.76272731662121
67	26.225191563609823	26.519853267226388
68	30.298555294892935	26.812101107141164
69	30.071903620019167	30.664935788226064
70	30.411125710101466	25.507627871864102
71	28.363560073463855	25.94909730385746
72	27.554469564158538	28.700632138875967
73	31.293220494091283	24.381680890366727
74	26.40507128698426	26.80001455706429
75	29.398185740934018	24.41930612015942
76	32.44409029151478	24.096206326426074
77	30.229117592820845	23.837386068595126
78	29.207864850331728	23.452662814287912
79	86.28666817795695	77.75944001360531
80	88.3226473739007	76.56499916149039
81	87.04294703185869	80.19912893177745
82	86.00912808866264	77.47825595293624
83	87.89610379115014	80.00525141987593
84	89.54837768480668	77.21890892441014
85	88.70088784759241	74.61731687515791
86	83.0666790586583	79.81277640180046
87	87.16601219218762	77.62397582816635
88	83.55773662470732	79.74347039478657
89	83.79689456313089	77.44215550335679
90	85.6738726445993	75.5083305072795
91	84.2987696475394	73.77528448902352
92	82.91671600914009	72.76106556688823
93	82.27567452700244	75.37175192675203
94	84.92683027502252	73.10573683664502
95	84.9472713460452	72.11255101172823
96	85.50796071870278	75.85363574790269
97	84.06208130167474	74.98387688785328
98	89.41015081056035	75.90567415731037
99	85.2709977341003	78.76638037672595
100	85.41748576931731	78.5558534702451
101	88.77920233182448	79.40580995279787
102	90.67969883806772	78.70624345466321
103	85.7134430622155	81.80054230360933
104	90.03530840704725	82.21578347394201
105	86.8491456959877	80.80314769748924
106	88.27955650489918	77.11288878675683
107	88.2582598108941	76.70810922846616
108	88.17131380275723	76.14378971408527
109	91.47384350905199	81.4945263839329
110	89.42302108703028	79.34346977210059
111	87.1238122741162	83.00260234596519
112	87.43544933396413	78.31668116947779
113	84.97418451106563	75.28940999067119
114	85.82671967803896	75.67440843257673
115	86.92449874703642	81.29307206206028
116	89.41940388434769	80.53978300788565
117	84.71824123167276	75.76641231212683
118	88.92980089821178	77.12544475248218
119	89.03832289537257	75.74002156878176
120	87.63515786467552	76.08538208408028
121	90.49745063592984	77.44234485132392
122	90.47854775089095	75.98128598322283
123	66.80519388697311	118.971441337706
124	63.2036825390425	119.36933172727771
125	63.7780612849881	118.89730427520315
126	64.67490785727877	116.58315293924787
127	69.48156630888711	119.13093149620794
128	65.29617397287117	119.98382327207253
129	67.36518808929742	121.06058112319205
130	65.28980467315897	119.36743993149057
131	63.96991144814177	121.57776310795111
132	67.87007012979916	118.08060185573144
133	64.83260926457685	120.97925520081596
134	65.29639244179556	118.33446081643716
135	63.765746394530595	114.85134302877603
136	61.38689344445992	117.93254968662337
137	66.35239400399139	116.78744072649312
138	68.15141492416912	118.47602165589815
139	61.74901378272396	118.76092433140731
140	67.89207871520401	120.1608849293529
141	66.69996110062402	117.36251848224092
142	68.2497914104539	119.78788715849392
143	64.17387229133456	116.8566394336415
144	63.61138141094095	120.85363538937234
145	67.43818071075484	121.68410809438139
146	70.67654983058934	120.02771691643399
147	67.49995226045857	121.6368765038964
148	64.65366590180871	121.3552912634643
149	68.62234341616119	120.67969741323932
150	66.31162445307467	124.73306017502684
151	64.81875036483152	120.84014667871713
152	66.91896216338186	121.29590051883137
153	68.23616074858711	122.62613964323495
154	68.32349571268179	119.71176554631073
155	63.879452380805525	120.96310684399211
156	68.82556200324136	120.63627388312119
157	67.71017437045636	119.90628412353443
158	66.02044061451416	119.44816213011292
159	70.20457387834853	122.00916187705398
160	71.39585137304725	123.0575267861685
161	69.75733620051726	119.57095033944579
162	65.86185100733815	121.812000751303
163	65.4118105247303	120.25243741916232
164	65.30978976595043	119.63813381690845
165	68.05763446307937	123.88740595024944
166	65.40784267188558	120.682803831503
167	64.3749695398722	118.85145448265477
168	64.53202929888124	117.44847793886584
169	63.56757512127997	121.60139511015929
170	63.19931165221075	116.30361888836059
171	65.91776533757928	120.41895813294514
172	63.53142865551164	120.80591904641994
173	62.107133991736646	122.03230716775849
174	67.34084127968164	120.89325719976321
175	67.19361848244468	117.27459855128167
176	61.35096632992847	118.51571937845226
177	62.44089244984281	118.12792061859759
178	65.15287218926974	119.1526472131942
179	64.87213503120283	117.45907640767602
180	68.39353182090622	118.38711739560324
181	67.57333597119279	120.34775589708056
182	62.10087946068176	117.56857567495987
183	65.10658305928065	117.27492588994515
184	66.34941783357114	118.99099529942133
185	64.48698123261701	119.5306053418629
186	63.21970840652512	119.71275705166336
187	63.89656321287657	118.35199334862425
188	67.25259881770539	120.63797870043031
189	67.15582060667822	120.44265839316536
190	66.45666104639288	121.98781940427459
191	67.52468900916544	118.9185437481776
192	70.69103917611886	120.0848665400846
193	70.61828357793657	119.54931294329675
194	69.78807606380849	118.30174982822959
195	68.5627615727969	122.78562109684854
196	66.39625000570278	118.72477002732963
197	70.201086472669	122.81200782033773
198	69.70089526807699	121.51724285422577
199	69.12821545801452	118.62158306694009
200	46.124162400723634	102.21922492574674
201	45.76026861483201	105.65842736193527
202	42.571972881520736	101.25982255846735
203	48.11851407294058	104.80971462144291
204	46.76102805261767	100.08222844970486
205	45.91647466603845	103.03832510718772
206	50.06962116893969	101.98947227644015
207	48.052707146200646	100.13369453756725
208	44.9875564582594	100.23611634749949
209	47.97378998829808	103.75447932970673
210	43.810079454813106	104.10144291192103
211	44.46857084401315	99.7607900354221
212	46.40186990624922	96.91164718282396
213	41.872926283741016	101.73473818513384
214	46.39494695661523	102.37959586437613
215	41.926828988037585	100.28103736379369
216	45.8078137192234	101.22417137125825
217	44.984907550148264	96.7365400278842
218	45.12300560089143	100.24372448534811
219	43.605683764534454	101.19001506566768
220	45.31734541879191	103.63621026743675
221	47.00738479143944	99.20748846136883
222	48.81492539221112	99.74703062493094
223	46.30541423173392	97.75195127841847
224	47.62872889998805	100.43855373529516
225	47.14817975985986	103.20215259901224
226	47.07666603623208	101.2504517756515
227	47.651758182995664	96.09760714054003
228	48.59145055173572	100.23430039051182
229	49.419558799759685	99.6934766251546
230	47.2892635652131	96.90211498070315
231	47.279458102639374	100.06349686564077
232	47.04417690669966	98.47184364298319
233	48.452821424291685	99.58978515467926
234	49.489138992413665	100.82049036725363
235	47.94499846555056	97.40691302725459
236	51.56400447145822	101.40947738396372
237	52.18613139752884	99.05565044895323
238	47.60535819254953	98.97462050597402
239	49.23531623787531	98.49404268605389
240	49.28580013667202	103.41653112416458
241	48.85913507062237	103.47661108687467
242	50.94592864672885	101.41956549452769
243	51.549103094734456	97.80969234460883
244	48.38298989521591	104.57972208450953
245	49.27892004358933	106.80250866501717
246	49.43615782065715	102.8453018338806
247	47.09920271327501	102.28269787455933
248	50.7002199359055	102.68131849837155
249	50.508370300677356	101.62412053848429
250	51.944109961958176	106.18573156954245
251	47.69887510307885	104.19164861301812
252	44.792203527150924	105.82829370024893
253	48.07676295815707	106.63711908662346
254	44.756409026765404	105.94005878524945
255	108.14309132502675	43.2036623251541
256	107.68403202573195	45.7395108469246
257	107.6154765802972	39.67958876809128
258	104.72593304173488	42.88633811942172
259	105.78820630386545	44.9931052837349
260	110.35529402586727	45.75804264823196
261	109.65011411160607	44.80806081104554
262	108.12807968810934	41.36709853148136
263	108.18514790868032	47.19004203253603
264	107.6538906475266	39.747822690552226
265	107.73964949939399	44.256150927597375
266	104.72546229014638	42.07954513478184
267	103.93621085498955	41.43878648160904
268	104.59981638357701	39.79906328035312
269	105.28824692613001	40.13567579457792
270	102.56599297101594	45.21791491347286
271	105.35481679517845	45.721187595623604
272	105.03945138918615	43.77404172668515
273	104.85670665553928	39.76680118510259
274	104.16671093731802	45.50581726578493
275	106.50998132021688	40.208257772107814
276	101.53665159084977	44.17376573013153
277	110.79035083569997	44.67015602452811
278	111.13463545492155	45.530782277752785
279	109.44775200021463	47.79568896472087
280	108.2492975016834	44.460799663210686
281	114.27150501158457	44.241858879433934
282	110.35838272133778	46.13588244905092
283	110.90617140759933	41.26439856871394
284	109.89430417037728	48.04354817180868
285	113.72772499064504	43.94205178332603
286	111.00290836918396	43.10321750197054
287	107.1241200597649	46.2553938201226
288	110.13199637850865	45.77765032110031
289	107.19812093136834	44.61048601852497
